Name,Season,Team,ip,era,fip,war,split,xra9_lin,xra9_rf,xra9_xgb,xWAR_lin,xWAR_rf,xWAR_xgb
Joe Musgrove,2021,SDP,176.1,3.27,3.73,3.2,train,4.011010587631825,3.577798742551325,3.5135193,2.5209487090160496,3.236840919566796,3.232981250413454
Alek Manoah,2021,TOR,111.2,3.22,3.8,2.0,test,3.278088054884887,2.771298189043402,3.0811002,2.4207849088155107,2.842263439820758,2.400511038428822
Lucas Giolito,2021,CHW,178.2,3.53,3.79,4.1,train,4.083163815484077,3.861775501905389,3.6176398,2.4202414634965184,2.8249729573574056,3.1330038514450376
Antonio Senzatela,2021,COL,156.2,4.42,3.61,3.5,test,3.89979581745168,4.184698751220996,3.846473,2.4127513452820617,2.0272037325759378,2.479341500379702
Alex Wood,2021,SFG,138.2,3.83,3.48,2.5,train,3.7659196892836153,3.595149936781135,3.7132478,2.322885304178531,2.5188667694940006,2.331096464528466
Steven Matz,2021,TOR,150.2,3.82,3.79,2.7,train,3.9397001748625726,3.866783885803144,3.964181,2.2591136017078046,2.3743975438999203,2.2521029706430733
Jon Gray,2021,COL,149.0,4.59,4.22,2.3,train,3.9648395039051083,4.326846878407297,4.4060116,2.202968396277408,1.7452216704934291,1.7425862373708958
Pablo López,2021,MIA,102.2,3.07,3.29,2.3,train,3.3625869629153753,3.230298347306961,3.099913,2.1370275345587593,2.194647078258367,2.1918700608956394
Mike Minor,2021,KCR,158.2,5.05,4.29,2.3,train,4.092509854421891,4.579359490493165,4.78749,2.1335718565258293,1.4973797535754128,1.3995949404969474
Nick Pivetta,2021,BOS,154.0,4.56,4.3,2.2,train,4.06729195767116,4.4438270415509775,4.5093536,2.116426176628741,1.64342254067406,1.6822393258527881
Rich Hill,2021,2 Tms,155.2,3.76,4.36,1.7,train,4.091147364637683,3.8531834899166046,3.8416715,2.0952628572086485,2.472228281061721,2.46903244507424
Sonny Gray,2021,CIN,135.1,4.19,3.99,2.5,train,3.9057652210000278,4.027807510670672,4.11694,2.0786269182306616,1.9420429778545674,1.871606535940841
Hyun Jin Ryu,2021,TOR,169.0,4.37,4.02,2.5,train,4.210838085774792,4.268140751393037,4.385133,2.0758417086203553,2.0677963528554764,2.0028352126449134
Germán Márquez,2021,COL,180.0,4.4,3.86,3.4,test,4.330141389945104,3.9990586993463046,4.0441446,1.9925476729739164,2.6335383764114777,2.5914597993718087
Jameson Taillon,2021,NYY,144.1,4.3,4.43,1.9,train,4.105869275460778,4.207424198837228,4.191846,1.9238323228131358,1.841016101275518,1.9156977187578568
Tyler Anderson,2021,2 Tms,167.0,4.53,4.37,2.1,train,4.299011591660698,4.290107521702185,4.3978,1.9015147414060791,2.0106699474227283,1.96333877365827
Wade Miley,2021,CIN,163.0,3.37,3.97,3.0,train,4.282633840130084,3.647114601035392,3.5189223,1.8831204533722663,2.89547806585824,2.985905730092053
Cal Quantrill,2021,CLE,121.0,3.12,4.05,1.8,train,3.9111738255965607,3.4770695442590136,3.3762248,1.8550305682049073,2.3325604382339034,2.3454465590368385
Merrill Kelly,2021,ARI,158.0,4.44,4.11,2.2,train,4.284118577005525,4.33772737018971,4.4458823,1.8229701338468978,1.835334676567268,1.8008089071967326
Taijuan Walker,2021,NYM,154.1,4.43,4.67,1.3,train,4.257646326656038,4.586052053759412,4.5346093,1.8194621599272385,1.4493922837723765,1.654273787183828
Logan Gilbert,2021,SEA,119.1,4.68,3.73,2.2,test,3.9443188043899964,3.554612738963354,3.2383204,1.7857531438458714,2.213722756096512,2.431246024459273
Brady Singer,2021,KCR,128.1,4.91,4.04,2.1,train,4.071947684636379,4.641195440174616,4.695944,1.7544160845718246,1.1419680615608998,1.2208574195883293
James Kaprielian,2021,OAK,111.1,3.8,4.31,1.2,train,3.963757295451601,3.953293202423484,3.7519872,1.6438388692827202,1.6707395123300972,1.8418512690150952
Blake Snell,2021,SDP,128.2,4.2,3.82,2.1,test,4.172136622046105,3.7934942778425613,3.4157495,1.6251531195144289,2.1102542175074768,2.447178244436532
John Means,2021,BAL,146.2,3.62,4.62,2.5,train,4.341759400343654,3.9437348554678473,3.668849,1.6011163147157903,2.211018412062135,2.51450112030105
Adrian Houser,2021,MIL,135.1,3.33,4.34,1.5,train,4.272053151174085,3.683417574678573,3.4071696,1.575333201848899,2.3562130332295044,2.587545178976846
Dane Dunning,2021,TEX,114.2,4.55,3.94,1.9,train,4.076703246896387,4.417018821178865,4.5093365,1.558522725380067,1.2459463979823735,1.2474934094426942
Zach Plesac,2021,CLE,142.2,4.67,4.73,1.0,train,4.35005875951943,4.7833313393265895,4.614745,1.5453071807903256,1.0877460933393084,1.441446226500834
Ian Anderson,2021,ATL,128.1,3.58,4.12,1.8,train,4.241534359030891,3.9263446695975697,3.8352668,1.533470969252285,1.9571178398190598,2.0440318568856957
Trevor Bauer,2021,LAD,107.2,2.59,4.03,1.8,train,4.016528474291808,3.0915262027297192,2.7813606,1.528598955106687,2.434442287259386,2.554067910690965
Shane McClanahan,2021,TBR,123.1,3.43,3.31,2.5,train,4.199922406127668,3.5176165667680404,3.4413786,1.5257143589668374,2.3286115004405765,2.3262700633382805
Cole Irvin,2021,OAK,178.1,4.24,4.3,2.0,test,4.605820754902438,4.664579243577942,4.7934847,1.4721575491721501,1.5506285988105095,1.5676786665655544
Zac Gallen,2021,ARI,121.1,4.3,4.25,1.3,train,4.253267131582804,4.2653594525388625,4.251433,1.4352240593647132,1.4847150231308928,1.5560542031466227
Casey Mize,2021,DET,150.1,3.71,4.71,1.2,train,4.49721437095276,4.095298404091179,3.8951712,1.4065103481810795,2.0674881912192844,2.327941737087132
Eric Lauer,2021,MIL,106.2,3.04,3.9,1.8,train,4.125127061795241,3.443374096895262,3.4479377,1.3970411942917749,2.0791098671513586,2.001703145900645
Madison Bumgarner,2021,ARI,146.1,4.67,4.63,1.4,train,4.495932319759786,4.372733749161237,4.6268954,1.3709334117546932,1.6515766407983112,1.4677257951397076
Zach Eflin,2021,PHI,105.2,4.17,3.68,2.1,train,4.16255411278583,4.11265633526525,4.1175976,1.3438416941235927,1.4327773772975467,1.4568706977942179
Framber Valdez,2021,HOU,134.2,3.14,4.01,1.8,train,4.437403702908459,3.850132238095259,3.2342176,1.339154263238121,2.141357906205413,2.7436004355045283
Chris Paddack,2021,SDP,106.1,5.08,3.74,1.8,train,4.179541853876569,4.458278603675329,4.842906,1.3370070836384438,1.118605030687002,0.8947674608097381
José Urquidy,2021,HOU,107.0,3.62,4.14,1.8,train,4.211165018631279,3.79005357070957,3.698092,1.3139345289809026,1.764565832302451,1.816936458892225
Austin Gomber,2021,COL,115.1,4.53,4.61,1.3,test,4.326819836858176,4.36669956735251,4.6497993,1.2780118425257943,1.307321969710318,1.136615856844098
Joe Ross,2021,WSN,103.0,4.02,4.43,1.3,train,4.2874805202030455,4.126674981158243,3.9819117,1.1848700703266848,1.389961006673696,1.5307495201264947
Kenta Maeda,2021,MIN,106.1,4.66,4.1,1.6,test,4.321268794645741,4.1688767706073,4.518605,1.18407051292063,1.3919364502187728,1.1516685258522072
Kyle Hendricks,2021,CHC,181.0,4.77,4.89,1.1,train,4.840652311675073,4.692364828651733,4.7761984,1.0638352933015371,1.5311091216715105,1.616565714504975
Aaron Civale,2021,CLE,124.1,3.84,4.83,0.7,train,4.589502805649308,4.230803797731666,4.0175385,1.0463946254537833,1.5596694023599809,1.8113197381563366
Jake Odorizzi,2021,HOU,100.2,4.38,4.59,1.0,train,4.397859635980937,4.2250347866170355,4.3216524,1.0401740853276125,1.2644436088178865,1.2349706432011174
Vladimir Gutierrez,2021,CIN,114.0,4.74,5.22,0.7,test,4.570238319530138,4.707067846018567,4.7691884,0.9835687965139782,0.9494244428055281,1.0241350259339619
Erick Fedde,2021,WSN,131.2,5.26,4.69,1.1,test,4.6814549517006565,4.324649990316861,4.6093326,0.9835623765501432,1.5392978537372972,1.3352439580310078
Kyle Freeland,2021,COL,120.2,4.33,4.63,1.5,train,4.627011090726712,4.394201241353683,4.2388115,0.9676565574646775,1.3358221296382398,1.5558167967991272
Matt Harvey,2021,BAL,127.2,6.27,4.6,1.9,train,4.671080270733923,5.730649935517624,6.1489973,0.9669973533857811,-0.09964019578381969,-0.1676951481888557
Johnny Cueto,2021,SFG,112.1,4.09,4.1,1.5,test,4.622831250301164,4.180172677484813,4.6256514,0.9072139243637795,1.4593790823631387,1.1272018297025799
Andrew Heaney,2021,2 Tms,120.0,5.48,4.67,1.2,test,4.714783913907458,4.333625395159548,4.4732823,0.8589229526420015,1.3983068163553702,1.343153921400832
Triston McKenzie,2021,CLE,116.1,5.03,4.73,1.1,train,4.710012055556667,4.661604485479702,4.9469337,0.8366425595793218,1.0138996430206504,0.8889253806823367
Marco Gonzales,2021,SEA,143.1,3.96,5.28,0.5,train,4.851213694769743,4.440622400897232,4.1540604,0.8257053456685535,1.5311845511673052,1.9427743264367061
Michael Wacha,2021,TBR,107.1,4.53,4.05,1.6,test,4.664003379308514,4.375086263646214,4.658348,0.8219021270972825,1.2084612049094108,1.050779751059678
J.A. Happ,2021,2 Tms,152.1,5.79,5.13,0.5,train,4.905441742281129,5.3528391291078385,5.4288383,0.7937490996913995,0.39239109804274247,0.6173023647314002
Ryan Yarbrough,2021,TBR,117.0,5.46,4.69,0.9,test,4.753743673076334,4.51708631553953,4.778536,0.7910896387314338,1.1722748249202999,1.0429204804603622
Michael Pineda,2021,MIN,106.1,3.72,4.27,1.2,train,4.7017767391012635,4.21889454458971,3.8476698,0.7734669971734671,1.344696151083495,1.6831628513442378
Mitch Keller,2021,PIT,100.2,6.17,4.3,1.1,train,4.731392132890955,5.454178607396133,6.0579886,0.700275444964383,0.16810850766919272,-0.06401423519200966
Zack Greinke,2021,HOU,168.2,4.11,4.69,1.3,test,5.030439534858296,4.608139591806654,5.0365024,0.6639369636218766,1.5489393529468414,1.1753492483746755
Brad Keller,2021,KCR,133.2,5.39,4.72,1.2,train,5.051218685936858,5.383355706912775,5.4720798,0.4976314169241681,0.30744874293428875,0.49759228469964806
Wil Crowe,2021,PIT,116.0,5.43,5.67,-0.3,test,5.095807474070203,4.932750201889694,5.312038,0.38076768310168363,0.733042074611876,0.571948442474422
Tarik Skubal,2021,DET,143.2,4.39,5.06,0.7,train,5.158418821006103,4.547189209123051,4.4499974,0.3788627355911644,1.3964113712659203,1.6277258068972176
Yusei Kikuchi,2021,SEA,157.0,4.41,4.61,1.1,test,5.195154234403601,4.6043644851965855,5.174298,0.35671513124436016,1.4510754782698871,0.9355617989171444
Drew Smyly,2021,ATL,115.2,4.75,5.36,0.1,train,5.146847096747109,4.7863266321973725,4.8125854,0.3183413822029533,0.8781404249248537,0.9975891557693476
Dallas Keuchel,2021,CHW,156.1,5.18,5.16,0.9,test,5.282660418852344,5.351985614163602,5.3576913,0.21574373314502762,0.4038963966763012,0.7164569674291704
JT Brubaker,2021,PIT,124.1,5.36,5.16,0.3,train,5.296383472184559,5.121748315680917,5.3939357,0.15419623320488027,0.5754422617655995,0.536002919417589
Adbert Alzolay,2021,CHC,106.1,5.16,5.14,0.4,train,5.30291198064442,5.0205065676756595,5.07598,0.1247860768044268,0.5875974490434414,0.7101332771444401
Martín Pérez,2021,BOS,100.0,4.77,4.91,0.6,train,5.314874592831371,4.909247156435714,4.8214736,0.10544514981843187,0.652854526094358,0.8593266228970848
Jon Lester,2021,2 Tms,141.1,4.71,5.41,0.1,test,5.3900647549244916,5.047970668997671,5.2839503,0.040880586782841795,0.7469368843446593,0.7252962161366926
Garrett Richards,2021,BOS,110.1,5.22,5.15,0.5,train,5.4045063759694525,5.4218455051374255,5.3310103,0.01572765622184554,0.2164069619717499,0.527262003035925
Jorge López,2021,BAL,113.1,6.35,5.24,0.8,train,5.432733314824109,5.879470698994868,6.176225,-0.016312873944817896,-0.23842525997221103,-0.1720984159819836
Jordan Lyles,2021,TEX,167.0,5.39,5.53,0.0,train,5.652035297676444,5.360404309790889,5.431853,-0.3965667664659086,0.419584188387923,0.6740157056270814
Mike Foltynewicz,2021,TEX,130.0,5.54,6.14,-0.7,train,5.805760412573312,5.412486783503209,5.5183635,-0.5119552186241412,0.2663514979065588,0.44071455472670895
Zach Davies,2021,CHC,148.0,5.78,5.45,0.0,test,5.827866202807645,5.3209907015844164,5.4598174,-0.6161158084147035,0.4237725793558668,0.5664302687435826
Patrick Corbin,2021,WSN,171.2,5.82,5.41,0.2,train,5.794039922115241,5.43392779284749,5.6777644,-0.6537979870696621,0.31808896125933767,0.3766373704692963
Kris Bubic,2021,KCR,103.2,4.77,5.6,0.0,train,6.05517734518848,4.819621652190234,4.892895,-0.6682013479385744,0.7560808168746269,0.8317934976049285
Sandy Alcantara,2022,MIA,228.2,2.28,2.99,5.9,train,2.623884340840493,2.6094370804472247,2.431922,6.486184837221014,6.161573855594866,6.032297429703015
Aaron Nola,2022,PHI,205.0,3.25,2.58,6.3,train,2.4530770849896744,3.0088944615984055,3.226743,6.182891557478266,4.806207075930263,4.202484460613282
Justin Verlander,2022,HOU,175.0,1.75,2.49,6.1,train,2.333898927588325,2.0689956767676785,1.7602971,5.490196521588437,5.567031478966158,5.503536205815847
Max Fried,2022,ATL,185.1,2.48,2.7,4.9,train,2.540321254168277,2.6284708265795715,2.4384236,5.418455854254804,4.966479031426144,4.88399562289882
Carlos Rodón,2022,SFG,178.0,2.88,2.25,6.2,train,2.5020925411988593,2.843391573593092,2.8591492,5.279824161775584,4.435434157682991,4.13751588527752
Shohei Ohtani,2022,LAA,166.0,2.33,2.4,5.6,train,2.327049655271133,2.429043072308329,2.467759,5.21940723782401,4.7486914470369355,4.343670439522663
Dylan Cease,2022,CHW,184.0,2.2,3.1,4.4,train,2.629783229071908,2.4604348948192483,2.2883885,5.218838298684872,5.212192735736858,5.061088125524081
Zac Gallen,2022,ARI,184.0,2.54,3.05,4.2,test,2.7281132583448544,3.0397000096214564,3.1164331,5.034825706800874,4.263407117434318,3.923528613009189
Martín Pérez,2022,TEX,196.1,2.89,3.27,3.9,train,2.9567780043714116,2.9804158516072685,2.9421108,4.909861929764084,4.647260274545246,4.436774167355001
Corbin Burnes,2022,MIL,202.0,2.94,3.14,4.6,train,3.0657874496431914,3.0871580058049033,2.9704325,4.833629309087576,4.59514328171797,4.527547659377023
Framber Valdez,2022,HOU,201.1,2.82,3.06,4.4,train,3.127985181980672,3.0436613631110663,2.9166687,4.684880724072965,4.652534586890741,4.5880998702429565
Logan Webb,2022,SFG,192.1,2.9,3.03,4.2,train,3.030812464490758,3.0075621541659725,2.8815691,4.66506629534082,4.506045971313993,4.433106772121368
Alek Manoah,2022,TOR,196.2,2.24,3.35,3.9,train,3.127567870104304,2.528478503251982,2.274228,4.571561709171527,5.438944708396163,5.41740352802775
Shane Bieber,2022,CLE,200.0,2.88,2.87,4.8,train,3.2300703834732394,3.0181363501992164,2.9260883,4.451602717974888,4.672528811367858,4.5489374145801635
Yu Darvish,2022,SDP,194.2,3.1,3.31,4.2,train,3.187770214140116,3.191013898869019,3.115271,4.406054013020654,4.238170344737719,4.142713481385319
Max Scherzer,2022,NYM,145.1,2.29,2.62,4.5,train,2.4663406285467673,2.380674458216613,2.2905037,4.3567072128290025,4.213288697131015,3.988816519725028
Julio Urías,2022,LAD,175.0,2.16,3.71,3.2,train,3.028996372469421,2.616950274218335,2.3086832,4.253032470845945,4.713429291945867,4.787018016723319
Kevin Gausman,2022,TOR,174.2,3.35,2.38,5.5,train,3.0290753046263994,3.1703398590708542,3.3214374,4.233450192102635,3.8337542768675257,3.447925319709609
Tyler Anderson,2022,LAD,170.2,2.58,3.38,3.8,train,2.9857374029756913,2.9659592539682462,2.6220956,4.21126018337602,4.055373926573525,4.257446289174293
Chris Bassitt,2022,NYM,181.2,3.42,3.66,2.8,train,3.1715438764371804,3.4821297406877867,3.355689,4.141010555945964,3.4848954144327258,3.5401371233258043
Gerrit Cole,2022,NYY,200.2,3.5,3.47,3.4,train,3.408297465939774,3.4889495830102804,3.3512452,4.0931590385815415,3.8381556146861957,3.917986020321441
Alex Cobb,2022,SFG,149.2,3.73,2.8,3.7,train,2.8356331769776455,3.4261468866397307,3.5085986,3.919431588559353,2.9438140473659744,2.744611563100492
Zack Wheeler,2022,PHI,153.0,2.82,2.89,4.2,test,2.9155273217964073,2.9511326136428457,2.7428074,3.894933696542701,3.66574094414255,3.689305598333989
Joe Musgrove,2022,SDP,181.0,2.93,3.59,3.4,test,3.304618590460474,3.7018611834866615,3.3133185,3.8914672161497337,3.127016006630441,3.5934888907096987
Shane McClanahan,2022,TBR,166.1,2.54,3.0,3.6,train,3.131707326485232,2.7766457129084237,2.5476987,3.863223218732276,4.237596513647653,4.24715017852561
Jose Quintana,2022,2 Tms,165.2,2.93,2.99,4.0,test,3.1406205235962537,2.9522553348837794,3.2407672,3.8273149435083367,3.9563908263597085,3.3692896137949537
Nestor Cortes,2022,NYY,158.1,2.44,3.13,3.7,train,3.043484756658211,2.6202540800140803,2.5206797,3.8190142974741366,4.253597052317643,4.074485109165172
Clayton Kershaw,2022,LAD,126.1,2.28,2.57,3.9,test,2.48263144825797,2.761643696679918,2.623529,3.765328737815277,3.2339435012264195,3.152962926845836
Merrill Kelly,2022,ARI,200.1,3.37,3.65,3.2,train,3.5783997020405884,3.478932211139575,3.5006154,3.744935548704152,3.8540816966357725,3.6928704098461473
Brandon Woodruff,2022,MIL,153.1,3.05,3.08,3.6,train,3.018229398051057,3.0827489619818333,3.0975535,3.7375611781497717,3.488763501552301,3.286212696163233
Luis Castillo,2022,2 Tms,150.1,2.99,3.07,3.7,train,2.997069374035206,3.05318661470477,3.0815487,3.696626349784302,3.4599006376147488,3.239755567272404
Spencer Strider,2022,ATL,107.1,2.77,1.92,4.1,train,2.0677598708139016,2.7474907165005864,2.7840002,3.649895878929178,2.7601651317605778,2.549574721332414
Patrick Sandoval,2022,LAA,148.2,2.91,3.09,3.7,test,2.9989206927428214,2.727155134837388,2.900689,3.6470431695365013,3.846215510751684,3.398867068497721
Triston McKenzie,2022,CLE,188.1,2.92,3.58,3.4,train,3.5368273732857896,3.291948994744248,3.0500264,3.5998827546766305,3.936038841683867,4.104216784877157
George Kirby,2022,SEA,130.0,3.39,2.99,2.9,train,2.752905186170322,3.254938043975587,3.263859,3.5244347012176718,2.7631118714345586,2.628964841431101
Cristian Javier,2022,HOU,134.1,2.68,3.27,3.1,train,2.878935079475494,2.720848765306593,2.7245362,3.463701815251328,3.4878080525553834,3.2518614227872975
Blake Snell,2022,SDP,128.0,3.38,2.8,3.6,train,2.923094007807226,3.255110097318734,3.3474102,3.248656100211708,2.7204064174469638,2.5086710444074045
Tony Gonsolin,2022,LAD,130.1,2.14,3.28,2.7,train,2.9783897586791523,2.5083693730297467,2.37856,3.228787809282415,3.6298467426145273,3.490930389233814
Kyle Wright,2022,ATL,180.1,3.19,3.58,2.8,train,3.6575021659333125,3.434247785387982,3.414867,3.2257361902281443,3.5405040253253004,3.4390714112259038
Drew Rasmussen,2022,TBR,146.0,2.84,3.26,3.0,train,3.293601450798823,3.0439568641070056,3.054256,3.155332876103358,3.37738845239626,3.181012298628841
Pablo López,2022,MIA,180.0,3.75,3.71,3.0,train,3.717816662730681,3.832501940233949,3.8080685,3.1135276464352155,2.9004132349229534,2.9087284079198876
Ross Stripling,2022,TOR,123.1,2.92,3.04,3.0,train,3.0225914566635943,3.0222880553577167,2.9449468,2.999723459483259,2.871392048527901,2.7825382795927895
Miles Mikolas,2022,STL,199.1,3.3,3.89,2.8,train,3.9399592266521424,3.6219901505986742,3.509192,2.99407941449041,3.581275293737763,3.6616658615043964
Corey Kluber,2022,TBR,164.0,4.34,3.57,3.1,train,3.645158650911882,4.03249606711958,4.2414665,2.957960784096353,2.3506315785225547,2.1194940566261207
Jordan Montgomery,2022,2 Tms,178.1,3.48,3.61,2.8,train,3.8031341996966175,3.6546519114800575,3.6185074,2.9261208987341316,3.151759873630925,3.1300920237175567
Tarik Skubal,2022,DET,117.2,3.52,2.96,2.9,train,2.9838368804505855,3.2652045690989757,3.4515991,2.902146086600652,2.480340774546624,2.2058319805372686
Adam Wainwright,2022,STL,191.2,3.71,3.66,2.9,train,3.9489153741718477,3.6707556014839744,3.7251034,2.857862503396842,3.356176438427658,3.2081525887713234
Ranger Suarez,2022,PHI,155.1,3.65,3.87,2.3,train,3.6105461142786037,3.6902900722114573,3.6105368,2.8520368165622783,2.6955347151420646,2.7350990670999984
Justin Steele,2022,CHC,119.0,3.18,3.2,2.5,train,3.086469592625284,3.145747378396319,3.1902063,2.8225026455679174,2.6449760053013085,2.4719532394851353
Jeffrey Springs,2022,TBR,125.0,2.66,3.14,2.7,train,3.217036546123973,2.9576377430135574,2.7594507,2.7988218266561287,2.987648054483605,2.9986056935345484
Johnny Cueto,2022,CHW,153.1,3.29,3.76,2.4,train,3.634126736011946,3.5283372289994017,3.278859,2.7785424932071434,2.8814934933532355,3.0789655797051094
Taijuan Walker,2022,NYM,157.1,3.49,3.65,2.7,train,3.707629475338642,3.639905312703884,3.7189999,2.7336947278506027,2.8007542969542225,2.6431464056543423
Cal Quantrill,2022,CLE,186.1,3.38,4.12,2.1,train,3.987610614618604,3.6755945406221864,3.5106015,2.708393052659034,3.2586387794504366,3.4206232023994154
